id,zh-tw-city,eng-city
PEK,北京,BEIJING
SHA,上海,SHANGHAI
TSN,天津,TIANJIN
SIA,西安,XIAN
HGH,杭州,HANGCHOW
DLC,大連,DALIAN
TAO,青島,TSINGTAO
FOC,福州,FOOCHOW
XMN,廈門,XIAMEN
KMG,昆明,KUNMING
NKG,南京,NANKING
SWA,汕頭,SWATOW
KWL,桂林,GUILIN
CTU,成都,CHENGTU
CAN,廣州,CANTON
HAK,海口,HAIKOU
CSX,長沙,CHANGSHA
YNT,煙台,YANTAI
CKG,重慶,CHONGQING
WNZ,溫州,WENZHOU
SYX,三亞,SANYA
HRB,哈爾濱,HARBIN
SZX,深圳,SHENGZHEN
KHN,南昌,NANCHANG
HKG,香港,HONKKONG
MFM,澳門,MACAO
TPE,台北,TAIPEI
KHH,高雄,KAOHSIUNG
TYO,東京,TOKYO
OSA,大阪,OSAKA
NGO,名古屋,NAGOYA
SPK,札幌,SAPPORO
FUK,福岡,FUKUOKA
OKA,沖繩,OKINAWA
SEL,漢城,SEOUL
PUS,釜山,PUSAN
SIN,新加坡,SINGAPORE
KUL,吉隆坡,KUALA LUNPUR
PEN,檳城,PENANG
IPH,怡保,IPOH
BKK,曼谷,BANGKOK
CNX,清邁,
HKT,普吉島,PHUKET
KCH,古晉,KUCHING
JKT,雅加達,JAKARTA
DPS,巴里島,DENPASAR
MES,棉蘭,MEDAN
PLM,巨港,PALEMBANG
SUB,泗水,SURABAYA
RGN,仰光,RANGOON
HAN,河內,HANOI
PNH,金邊,PHNOM PENH
SGN,西貢,SAIGON
VTE,永珍,VIENTIANE
MNL,馬尼拉,MANILA
CEB,宿霧,CEBU
DIL,帝利,DILI
BKI,亞庇,KOTA KINABALU
DAC,達卡,DACCA
SBW,詩鄔,SIBU
SPN,塞班,SAIPAN
BWN,汶來,BANDER SERI BEGAWAN
DEL,新得里,DELHI
KBL,喀布爾,KABUL
CGP,吉大港,CHITTAGON
KHI,喀拉蚩,KARACHI
TBU,東加大埔,TONGGATAPU
INU,諾魯,NAURU
BAG,碧港,BAGUIO
BOM,孟買,BOMBAY
CMB,可倫坡,COLOMBA
CCU,加爾各答,CALCUTTA
MAA,馬德拉斯,MADRAS
KTM,加得滿都,KATHMANDU
MEX,墨西哥,MEXICO CITY
SAL,聖薩爾瓦多,SAN SALVADOR
PTY,巴拿馬,PANAMA CITY
BOG,哈瓦納,HAVANA
UIO,波哥大,BOGOTA
LIM,基多,QUITO
SCL,利馬,LIMA
SAN,聖地牙哥,SANTIAGO
BUE,布宜諾艾利斯,BUENDS AIRES
SAO,聖保羅,SAN PAULO
RIO,里約熱內盧,RIO DE JANEIRO
BSB,巴西利亞,BRASSILIA
CCS,加拉加斯,CARACAS
CAY,開雪,CAYENNE
MVD,蒙地維多,MONTEBIDEO
MGA,馬拿瓜,MANAGUA
GUA,瓜地馬拉,GUATEMALA
SDQ,聖多明哥,SANTO DOMINGO
LPB,拉巴斯,LA PAZ
KIN,京士頓,KINGSTON
SJU,聖湖安,SAN JUAN
PAP,太子港,PORT AU PRINCE
MBJ,蒙特哥灣,MONTEGO BAY
SJO,聖約瑟,SAN JOSE
TGU,德古斯加巴,TEGUCIGALPA
ACA,亞加普科,ACAPUCCO
BGI,橋鎮,BRIDGE TOWN
POS,西班牙港,PORT OF SPAIN
ASU,亞松森,ASUNCION
MAO,瑪瑙斯,MANAUS
REL,雷雪夫,RECIFE
PBM,巴拉馬利波,PARAMARIBO
GRG,喬治市,GEORGE TOWN
LON,倫敦,LONDON
PAR,巴黎,PARIS
GVA,日內瓦,GENEVA
ZRH,蘇黎世,ZURICH
BER,柏林,BERLIN
HAM,漢堡,HAMBERG
FRA,法蘭克福,FRANKFURT
CGN,科隆,COLOGNE
MUC,幕尼黑,MUNICH
DUB,都伯林,DUBLIN
SNN,汕隆,SHANNON
WAW,華沙,WARSAW
AMS,阿姆斯特丹,AMSTERDAM
BRU,布魯塞爾,BRUSSELS
VIE,維也納,VIENNA
PRG,布拉格,PRAGUE
BUD,布達佩斯,BUDAPEST
ATH,雅典,ATHENS
MIL,米蘭,MILAN
ROM,羅馬,ROME
BCN,巴塞隆納,BARCELONA
BNJ,波昂,BONN
DUS,杜塞道夫,DUSSDOLF
STR,斯圖加特,STUTTGART
EDI,愛丁堡,EDINBURGH
SOF,索非亞,SOFIA
IST,伊斯坦堡,ISTANBUL
LIS,里斯本,LISBON
MAD,馬德里,MADRID
GIB,直布羅陀,GIBRALTAR
